DEM数据文件,经度,纬度,起始角度,终止角度,视点高度,SPDERL算法整体错误率
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.54796711,28.30306456,86.68385704,101.5842618,1,0.000401177
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.64432117,28.35162909,134.3694252,207.2767942,1,0.016238974
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.32853871,28.34017901,330.1531373,342.0298585,1,0
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.55093367,28.33745482,307.2105745,321.1247899,1,0.000563098
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.51840897,28.37682305,352.40085,358.7107561,1,0.00077682
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.2041409,34.53062117,290.6737566,320.9662034,1,0.000529101
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.382292,34.55696944,215.711406,275.1135255,1,0.002562908
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.5991382,34.51309998,136.7488983,352.4577846,1,0.018442041
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.4250797,34.47061346,134.205953,314.1298674,1,0.012053318
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.4595313,34.57628992,118.9524834,286.4033706,1,0.00140149
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.76623,41.6340417,129.4384825,237.9711013,1,0
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.5136265,41.64515467,286.0901822,307.3852747,1,0.004995421
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.3568258,41.70836312,316.2899767,332.7771442,1,0
