DEM数据文件,经度,纬度,起始角度,终止角度,视点高度,SPDERL算法整体错误率,参考线改进后算法整体错误率,总个数,pderl误差数量,optrl误差数量
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.37041666666667,28.969583333333333,332.548296770374,343.6490426126043,0,0.0008305647840531562,0.0008305647840531562,2408,2,2
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.21263888888889,34.289861111111115,29.447256870431353,269.7250474836052,0,0.008334385654754388,0.0,7919,66,0
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.68152777777779,41.92541666666667,222.95794472650283,282.77632563605897,0,0.19426406926406928,0.0010822510822510823,5544,1077,6
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.33708333333334,28.53458333333333,350.5445285039376,354.3713428774378,10,0.0,0.0,2408,0,0
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.12291666666667,34.08513888888889,57.29196332900379,106.88740548198828,10,0.0004332755632582322,0.0004332755632582322,4616,2,2
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.26291666666667,41.549305555555556,200.41517475339668,219.8494296186422,10,0.04671052631578947,0.04671052631578947,1520,71,71
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.95402777777778,28.419583333333332,40.509266056151624,101.78125861773322,20,0.000891583452211127,0.000891583452211127,5608,5,5
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.83513888888889,34.75652777777778,224.46368030594465,269.4946010320184,20,0.019596199524940617,0.019299287410926364,3368,66,65
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.24097222222223,41.62652777777778,246.93451360991773,259.2958680589565,20,0.0,0.0,2342,0,0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.69097222222223,28.34208333333333,283.0425151579812,284.724131702743,30,0.008522727272727272,0.008522727272727272,352,3,3
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.37236111111112,34.853750000000005,47.16275657338204,108.5114972732425,30,0.0034662045060658577,0.0034662045060658577,4616,16,16
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.84319444444445,41.24402777777778,267.7760568624675,348.65087787385505,30,0.524322559582109,0.012895853738165198,6126,3212,79
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.86875,28.259027777777778,57.53990234742959,256.4012380835697,40,0.009970563099420758,0.007691577248124585,10531,105,81
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.54652777777778,34.24736111111111,234.42922451767834,334.2790906717497,40,0.681701691440287,0.681701691440287,5853,3990,3990
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.03097222222223,41.48291666666667,281.26825059841957,296.09263378431535,40,0.09558823529411764,0.09558823529411764,816,78,78
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.02736111111112,28.507638888888888,60.5933339387397,273.0566646096463,50,0.18884382890810314,0.014920804958298263,13069,2468,195
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.95569444444445,34.397083333333335,169.66763639735467,268.3948101903799,50,0.0351035103510351,0.03495349534953495,6666,234,233
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.39430555555556,41.41597222222222,253.54212061494937,349.5126223547937,50,0.14214343271555197,0.14214343271555197,6205,882,882
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.7526388888889,28.35013888888889,358.40857736905116,359.8223224113561,60,0.0,0.0,2406,0,0
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.5926388888889,34.74013888888889,294.41444871377706,315.31642599796174,60,0.016971625563511006,0.016441262264651285,3771,64,62
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.69458333333334,41.58569444444445,345.35540277986735,347.58532480361924,60,0.0,0.0,2406,0,0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.61958333333334,28.962638888888886,219.89530145632722,277.57181430024815,70,0.08363570391872278,0.08363570391872278,5512,461,461
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.11180555555556,34.28902777777778,294.57096121167496,341.2941767916279,70,0.00477326968973747,0.0042429063908777515,3771,18,16
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.14180555555556,41.41180555555556,255.5198336710592,287.35702793504174,70,0.03542780748663102,0.0,4488,159,0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.62791666666668,28.517638888888886,248.86466649486113,343.56745702311656,80,0.17119205298013246,0.17119205298013246,6040,1034,1034
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.21263888888889,34.022083333333335,288.8637161589358,347.5059754641535,80,0.0013252054068380599,0.0013252054068380599,3773,5,5
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.71069444444444,41.45041666666667,231.93245719695307,311.5427018689604,80,0.0,0.0,4552,0,0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.90458333333333,28.768472222222222,330.81416678332255,338.3243606545793,90,0.0004152823920265781,0.0004152823920265781,2408,1,1
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.32847222222223,34.65152777777778,32.48681414948726,51.420274221071246,90,0.006122448979591836,0.0058309037900874635,3430,21,20
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.8776388888889,41.82597222222223,187.20179120315004,305.69635943894633,90,0.2708333333333333,0.006202290076335878,6288,1703,39
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.79236111111112,28.518472222222222,97.73515384833159,130.82547817105367,100,0.040875912408759124,0.03990267639902676,2055,84,82
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.93708333333333,34.629583333333336,44.386561774072234,71.48215701080848,100,0.0002913752913752914,0.0002913752913752914,3432,1,1
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.04625,41.59569444444445,277.094160903472,317.2791836383653,100,0.006067677946324387,0.004200700116686115,4285,26,18
