DEM数据文件,经度,纬度,起始角度,终止角度,视点高度,SPDERL算法整体错误率,参考线改进后算法整体错误率,总个数,pderl误差数量,optrl误差数量,可视率,精度增量
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.86791667,28.90236111,188.7318821,355.8345804,2820,1.000245459,0,8148,8150,0,1.000368189,1.000245459
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.60763889,28.42152778,180.8683462,349.3012456,3910,0.998175404,0,8221,8206,0,0.998297044,0.998175404
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.8265278,34.05625,184.7990516,333.3380824,4030,0.992967271,0,7394,7342,0,0.992967271,0.992967271
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.2890278,41.84541667,188.8789042,346.0261502,1240,0.984159169,0,7891,7766,0,0.984285895,0.984159169
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.1295833,34.46680556,209.0923919,340.6345648,2940,0.965696917,0,6909,6672,0,0.965841656,0.965696917
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.6120833,34.49902778,205.2033869,356.4076246,2170,0.961385504,0,7795,7494,0,0.961513791,0.961385504
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.65486111,28.10458333,191.2453502,338.6602361,1610,0.961086928,0.001846722,7581,7286,14,0.961218837,0.959240206
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.3345833,34.94402778,183.4902966,224.1861035,690,0.946823529,0,2125,2012,0,0.946823529,0.946823529
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.61708333,28.25291667,228.230899,355.5468254,2670,0.945793514,0,6383,6037,0,0.94595018,0.945793514
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.8106944,34.50291667,188.4291793,311.2115256,1130,0.935870782,0,6253,5852,0,0.935870782,0.935870782
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.79486111,28.84930556,180.3526239,263.7171177,2200,0.937385321,0.00206422,4360,4087,9,0.937385321,0.935321101
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.10486111,28.22152778,183.5762151,324.4768268,4080,0.934538153,0,7470,6981,0,0.934672021,0.934538153
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.69375,28.44180556,208.5541202,344.441043,1350,0.931200453,0.005237826,7064,6578,37,0.931342016,0.925962627
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.7818056,34.17513889,202.6233774,327.783301,1720,0.921985816,0,6909,6370,0,0.922130554,0.921985816
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.8565278,41.84236111,211.8593387,330.5131536,1170,0.921132765,0,6568,6050,0,0.921285018,0.921132765
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.6393056,41.91319444,207.7959412,334.5060271,1010,0.921696338,0.001302649,6909,6368,9,0.921841077,0.920393689
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.1348611,41.09847222,228.4328385,343.0168022,3270,0.916885677,0,6088,5582,0,0.917049934,0.916885677
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.33625,34.51291667,227.4464771,337.6102527,2100,0.914652696,0,5917,5412,0,0.9148217,0.914652696
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.4298611,34.74125,217.3885487,354.3175407,1910,0.913944979,0,7379,6744,0,0.914080499,0.913944979
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.8204167,41.62986111,227.2809207,337.7499787,300,0.912510638,0.001361702,5875,5361,8,0.912680851,0.911148936
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.6770833,34.48625,194.1150806,264.506171,4720,0.908367556,0,3896,3539,0,0.908367556,0.908367556
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.09152778,28.04763889,191.9489079,343.2936198,650,0.913519146,0.005730659,7678,7014,44,0.913649388,0.907788487
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.5906944,34.58847222,195.637667,320.9715746,2110,0.888276836,0,7080,6289,0,0.888418079,0.888276836
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.95875,34.27069444,233.7453826,351.2463323,1160,0.884695346,0,6253,5532,0,0.884855269,0.884695346
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.5390278,41.30041667,209.9195382,268.3282317,4340,0.880294118,0,3400,2993,0,0.880294118,0.880294118
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.16652778,28.92708333,225.0415046,311.2859655,4960,0.878075571,0,4552,3997,0,0.878295255,0.878075571
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.44097222,28.93708333,216.4601143,329.2037934,1740,0.87180268,0,6568,5726,0,0.871954933,0.87180268
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.46180556,28.16208333,293.1948516,356.8210588,1580,0.872250199,0.004505698,3773,3291,17,0.872250199,0.8677445
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.9631944,34.63291667,188.5865218,317.2441092,790,0.866968078,0,7299,6328,0,0.867105083,0.866968078
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.8318056,34.80736111,233.3933427,342.517109,1320,0.862680683,0,6088,5252,0,0.862844941,0.862680683
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.5818056,41.57569444,187.2325538,197.7790034,3020,0.860887097,0,496,427,0,0.860887097,0.860887097
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.9040278,41.80930556,212.3215198,308.8664619,2210,0.845609579,0,5512,4661,0,0.845609579,0.845609579
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.0456944,41.69375,238.7607096,352.126619,4740,0.842080153,0,6288,5295,0,0.842239186,0.842080153
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.6081944,34.45597222,204.087522,263.487638,3530,0.841466703,0.001887301,3709,3121,7,0.841466703,0.839579401
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.07125,28.03347222,196.2252141,315.8918198,4690,0.832248018,0,7064,5879,0,0.832248018,0.832248018
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.14180556,28.68680556,236.630054,347.8526827,2830,0.830210016,0.000807754,6190,5139,5,0.830371567,0.829402262
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.9754167,34.03152778,215.3793617,322.3302266,1840,0.824451888,0,6568,5415,0,0.824604141,0.824451888
