DEM ˝æ›Œƒº˛,æ≠∂»,Œ≥∂»,∆ ºΩ«∂»,÷’÷πΩ«∂», ”µ„∏ﬂ∂»,1¡⁄”Ú£®XPDERL£©,2¡⁄”Ú£®XPDERL£©,3¡⁄”Ú£®XPDERL£©,4¡⁄”Ú£®XPDERL£©,5¡⁄”Ú£®XPDERL£©,6¡⁄”Ú£®XPDERL£©,7¡⁄”Ú£®XPDERL£©,X8¡⁄”Ú£®XPDERL£©,9¡⁄”Ú£®XPDERL£©,10¡⁄”Ú£®XPDERL£©,1¡⁄”Ú£®Our£©,2¡⁄”Ú£®Our£©,3¡⁄”Ú£®Our£©,4¡⁄”Ú£®Our£©,5¡⁄”Ú£®Our£©,6¡⁄”Ú£®Our£©,7¡⁄”Ú£®Our£©,X8¡⁄”Ú£®Our£©,9¡⁄”Ú£®Our£©,10¡⁄”Ú£®Our£©,1¡⁄”Ú£®XDraw£©,2¡⁄”Ú£®XDraw£©,3¡⁄”Ú£®XDraw£©,4¡⁄”Ú£®XDraw£©,5¡⁄”Ú£®XDraw£©,6¡⁄”Ú£®XDraw£©,7¡⁄”Ú£®XDraw£©,8¡⁄”Ú£®XDraw£©,9¡⁄”Ú£®XDraw£©,10¡⁄”Ú£®XDraw£©
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.87696232,28.8772401,208.1182723,312.8854037,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008792438,0.007939815,0.006822917,0.006161265,0.005399306,0.004581404,0.003979552,0.003327546,0.002843364,0.002393904
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.70074087,28.70101865,191.7666856,311.7504289,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010256559,0.008858025,0.007177855,0.006340664,0.005271991,0.004193673,0.003364198,0.002615741,0.002083333,0.001533565
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.38971799,28.38999577,315.8440174,316.2304176,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.87E-05,5.59E-05,1.16E-05,0,0,0,0,0,0,0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.3692725,28.36955028,13.53913527,286.4228202,3,0.000725309,0.000339506,0.000133102,2.89E-05,0,0,0,0,0,0,9.65E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.85330086,28.85357864,340.0457318,344.0782995,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001203704,0.000952932,0.000746528,0.000646219,0.000530478,0.000416667,0.000327932,0.000221836,0.000129244,4.82E-05
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.83584885,28.83612662,212.8733935,318.5177672,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010011574,0.009278549,0.008317901,0.007663966,0.006930941,0.006232639,0.005729167,0.005190972,0.004708719,0.004158951
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.43265727,28.43293505,22.58828518,64.91852735,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007314815,0.006340664,0.00519483,0.004673997,0.004048997,0.003408565,0.002876157,0.002310957,0.00173804,0.001205633
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.29246586,28.29274363,323.896953,330.1970579,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001433256,0.001109182,0.000733025,0.000576775,0.000435957,0.000308642,0.000229552,0.000142747,6.75E-05,5.79E-06
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.21376161,28.21403939,139.7014123,348.3142572,3,0,0,0,0,0,0,0,0,0,0,1.35E-05,0,0,0,0,0,0,0,0,0,3.09E-05,1.54E-05,0,0,0,0,0,0,0,0
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.16671635,28.16699412,108.6763661,283.1414426,3,0.020607639,0.017901235,0.014633488,0.012806713,0.010555556,0.008557099,0.007150849,0.005806327,0.004758873,0.003869599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
