DEM数据文件,经度,纬度,起始角度,终止角度,视点高度,SPDERL算法耗时(秒),xdraw算法耗时(秒),时间消耗比
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.49170121,28.8247024,30.24270856,263.6499777,0,0.505339,1.430815,0.353182627
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.73070898,28.58666354,104.6071671,335.4199501,0,0.45161,1.437961,0.31406276
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.39319849,28.71115528,265.8224684,322.5580952,0,0.319536,1.440117,0.221881972
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.62620419,28.29707532,165.8270197,260.2466201,0,0.264999,1.421658,0.186401371
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.14801228,28.53749677,181.8872991,296.6679565,0,0.26453,1.423797,0.185791935
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.14854536,28.84623008,78.26336243,267.2132331,0,0.393701,1.450753,0.271377002
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.5663351,28.82978028,266.267011,298.2907491,0,0.16,1.362798,0.117405514
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.8706698,28.32032179,299.9408476,359.5632285,0,0.119656,1.433208,0.083488231
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.50568616,28.79956811,186.1356484,308.2197346,0,0.372523,1.447582,0.257341553
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.7281962,28.31402779,68.73063297,136.990944,0,0.270902,1.400115,0.193485535
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.3046284,34.16812581,194.5618904,212.541669,0,0.06601,1.379466,0.04785185
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.529133,34.486383,9.34518588,242.1342088,0,0.468779,1.406121,0.333384538
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.1513639,34.55927296,143.1395206,318.6695207,0,0.376608,1.372899,0.274315882
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.468757,34.76837884,302.3459859,337.9778863,0,0.138426,1.343569,0.103028575
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.3748836,34.17547931,350.9355488,357.1939252,0,0.101321,1.353596,0.074853206
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.4312246,34.12308357,342.8464494,358.6713052,0,0.078001,1.374964,0.056729485
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.4423141,34.44202618,85.49708042,348.8130411,0,0.554678,1.371168,0.404529569
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.3670718,34.70071784,321.8113073,349.598055,0,0.079614,1.355211,0.058746572
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.7821951,34.37397164,282.5260438,294.4745425,0,0.027,1.396862,0.019329039
data/Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.4897293,34.38197151,94.70940994,356.8554997,0,0.517479,1.370254,0.377651881
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.5301068,41.61660053,81.76500934,273.4865316,0,0.609857,1.371458,0.444677854
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.2204849,41.87903823,154.166841,211.7136294,0,0.303915,1.44543,0.210259231
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.8128092,41.79780409,359.857468,359.9617259,0,0.138011,1.412483,0.097708079
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.6503662,41.67574439,285.8938702,310.273238,0,0.076001,1.383785,0.054922549
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.6799743,41.88366283,147.0261752,158.9971026,0,0.108,1.399136,0.077190495
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.1078914,41.35839141,169.0752042,329.4758662,0,0.394499,1.390737,0.283661828
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.1221181,41.6425169,320.7693746,335.4731266,0,0.11234,1.37741,0.081558868
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.8683072,41.65149586,107.4334384,278.1865884,0,0.438699,1.415289,0.30997132
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.5759165,41.61941751,51.55314292,221.9299256,0,0.354001,1.427831,0.247929202
data/Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.1830217,41.87681658,108.7400489,115.268917,0,0.017,1.410931,0.012048782
data/Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.41883961,28.67313292,263.9647654,299.5965129,10,0.160012,1.398197,0.11444167
