DEM数据文件,视点高度,错误率均值,错误率最大值,错误率均方误差
山区,1,0.003596014,0.016238974,4.00E-05
山区,50,0.001350505,0.005184332,3.91E-06
山区,100,0.000416832,0.001534331,3.40E-07
山区,150,0.001967512,0.00591716,4.73E-06
山区,200,0.008991351,0.023491783,9.66E-05
山区,250,0.014970521,0.054446068,0.000407394
山区,300,0.002636745,0.009509461,1.22E-05
山区,350,0.003430212,0.012884663,2.42E-05
山区,400,0.013154589,0.026923901,7.46E-05
山区,450,0.008828588,0.020674947,6.95E-05
山区,500,0.017037604,0.043706206,0.000194987
山区,550,0.005353473,0.01404516,2.59E-05
山区,600,0.006086417,0.014417102,3.73E-05
山区,650,0.002136925,0.004241733,2.12E-06
山区,700,0.011857839,0.031372549,0.000134415
山区,750,0.007768671,0.0187213,3.47E-05
山区,800,0.01110311,0.02966166,9.62E-05
山区,850,0.001140485,0.004258944,2.51E-06
山区,900,0.010892094,0.042396749,0.000268569
山区,950,0.016987176,0.046253692,0.00030211
山区,1000,0.005859188,0.011330649,2.08E-05
山区,1050,0.011474105,0.044164038,0.000271339
山区,1100,0.009591422,0.030608922,0.000124175
山区,1150,0.007715809,0.025267455,8.78E-05
山区,1200,0.000420293,0.000747035,6.22E-08
山区,1250,0.005386585,0.012094244,2.63E-05
山区,1300,0.017616148,0.061012202,0.000503356
山区,1350,0.010745371,0.017979108,4.62E-05
山区,1400,0.005591956,0.010933868,2.07E-05
山区,1450,0.007870677,0.024151671,7.73E-05
山区,1500,0.006608908,0.021186192,5.63E-05
山区,1550,0.01118957,0.051762731,0.000411865
山区,1600,0.001338147,0.004705665,2.99E-06
山区,1650,0.035181098,0.148061105,0.003244646
山区,1700,0.010184944,0.030188679,0.00012232
山区,1750,0.031433123,0.149136336,0.00346723
山区,1800,0.004098812,0.018587013,5.26E-05
山区,1850,0.005902366,0.011496532,2.12E-05
山区,1900,0.033431907,0.157644892,0.00386741
山区,1950,0.002289692,0.007518797,7.45E-06
山区,2000,0.002737761,0.009377664,1.33E-05
山区,2050,0.00481777,0.010781671,2.00E-05
山区,2100,0.03615131,0.17414248,0.004762965
山区,2150,0.008775696,0.034231792,0.00016537
山区,2200,0.029140493,0.129194631,0.002529102
山区,2250,0.005784128,0.01975649,5.78E-05
山区,2300,0.003347232,0.0104453,1.67E-05
山区,2350,0.028543817,0.137118372,0.002950047
山区,2400,0.000950571,0.002745,1.36E-06
山区,2450,0.005808335,0.01836394,4.24E-05
山区,2500,0.013411714,0.040658277,0.000199683
山区,2550,0.001824619,0.003802281,2.45E-06
山区,2600,0.001737175,0.006102033,5.56E-06
山区,2650,0.00566841,0.014520352,2.82E-05
山区,2700,0.002894832,0.010356039,1.42E-05
山区,2750,0.004242717,0.013230178,2.32E-05
山区,2800,0.003614968,0.007414494,9.35E-06
山区,2850,0.001571718,0.004191099,2.06E-06
山区,2900,0.00737794,0.020547945,5.29E-05
山区,2950,0.005319413,0.017901235,4.13E-05
山区,3000,0.001092445,0.004048583,2.32E-06
山区,3050,0.004418036,0.009838531,1.10E-05
山区,3100,0.008829909,0.029726262,0.000116475
山区,3150,0.010793175,0.02640513,0.000110725
山区,3200,0.005703439,0.016891432,4.08E-05
山区,3250,0.007518577,0.02750701,0.000110702
山区,3300,0.000113649,0.000292569,1.24E-08
山区,3350,0.001872487,0.007403944,8.04E-06
山区,3400,0.0035639,0.013131082,2.35E-05
山区,3450,0.002850785,0.008747939,1.06E-05
