DEM数据文件,视点高度,时间消耗比
山区,1,0.145735987
山区,11,0.183141852
山区,21,0.206646151
山区,31,0.181078391
山区,41,0.166030671
山区,51,0.195461923
山区,61,0.20942562
山区,71,0.194452184
山区,81,0.178017483
山区,91,0.17540217
山区,101,0.190319375
山区,111,0.214284155
山区,121,0.188193033
山区,131,0.251664721
山区,141,0.177689846
山区,151,0.196190921
山区,161,0.197710499
山区,171,0.21630042
山区,181,0.187060796
山区,191,0.203225255
山区,201,0.215257163
山区,211,0.174011498
山区,221,0.193332837
山区,231,0.203593406
山区,241,0.219895169
山区,251,0.182091123
山区,261,0.242732906
山区,271,0.19775681
山区,281,0.236868162
山区,291,0.242906683
山区,301,0.227362927
山区,311,0.200153038
山区,321,0.184347052
山区,331,0.236058214
山区,341,0.200325147
山区,351,0.248439707
山区,361,0.227400427
山区,371,0.205504661
山区,381,0.22293187
山区,391,0.234676106
山区,401,0.248266418
山区,411,0.224782915
山区,421,0.232465153
山区,431,0.258728966
山区,441,0.195313153
山区,451,0.270541699
山区,461,0.250079006
山区,471,0.236464683
山区,481,0.25833366
山区,491,0.239025565
山区,501,0.272039506
山区,511,0.24286689
山区,521,0.267940068
山区,531,0.205431998
山区,541,0.285181001
山区,551,0.252404974
山区,561,0.227467487
山区,571,0.255054864
山区,581,0.272348694
山区,591,0.245488334
山区,601,0.276759014
山区,611,0.254748379
山区,621,0.25704743
山区,631,0.260151284
山区,641,0.276998435
山区,651,0.254510634
山区,661,0.241783499
山区,671,0.246608152
山区,681,0.238869391
山区,691,0.254390882
山区,701,0.244172519
山区,711,0.236983876
山区,721,0.243953226
山区,731,0.222100454
山区,741,0.302725063
山区,751,0.244157857
山区,761,0.278036598
山区,771,0.316496108
山区,781,0.283431114
山区,791,0.260396124
山区,801,0.234846345
山区,811,0.253226611
山区,821,0.267607519
山区,831,0.239812907
山区,841,0.26243902
山区,851,0.267259504
山区,861,0.291799244
山区,871,0.241712694
山区,881,0.254346195
山区,891,0.269164553
山区,901,0.23874747
山区,911,0.286235905
山区,921,0.290549648
山区,931,0.263874117
山区,941,0.2690621
山区,951,0.289037398
山区,961,0.316417215
山区,971,0.242129431
山区,981,0.266952742
山区,991,0.308894675
山区,1001,0.26120305
山区,1011,0.283642986
山区,1021,0.25974062
山区,1031,0.245353434
山区,1041,0.232272702
山区,1051,0.297249086
山区,1061,0.290126507
山区,1071,0.276872238
山区,1081,0.251382079
山区,1091,0.259681159
山区,1101,0.262788345
山区,1111,0.307869416
山区,1121,0.288642491
山区,1131,0.310903133
山区,1141,0.328203058
山区,1151,0.287998194
山区,1161,0.263554698
山区,1171,0.273590564
山区,1181,0.278027663
山区,1191,0.275868123
山区,1201,0.246306763
山区,1211,0.266389574
山区,1221,0.296666678
山区,1231,0.301310546
山区,1241,0.266064755
山区,1251,0.286169916
山区,1261,0.265812395
山区,1271,0.274858294
山区,1281,0.259896372
山区,1291,0.290834983
山区,1301,0.320251126
山区,1311,0.300962128
山区,1321,0.303350763
山区,1331,0.291774946
山区,1341,0.314068337
山区,1351,0.316047478
山区,1361,0.271965697
山区,1371,0.298150653
山区,1381,0.26308626
山区,1391,0.284104356
山区,1401,0.312697647
山区,1411,0.314422744
山区,1421,0.306723184
山区,1431,0.273200126
山区,1441,0.251017434
山区,1451,0.337361752
山区,1461,0.277373165
山区,1471,0.279559043
山区,1481,0.302127496
山区,1491,0.343578937
山区,1501,0.295415093
山区,1511,0.333288332
山区,1521,0.259059329
山区,1531,0.264966236
山区,1541,0.283997053
山区,1551,0.319836735
山区,1561,0.336790191
山区,1571,0.337068092
山区,1581,0.27400786
山区,1591,0.349795116
山区,1601,0.303714619
山区,1611,0.251435522
山区,1621,0.367734743
山区,1631,0.32297414
山区,1641,0.288855383
山区,1651,0.311478316
山区,1661,0.327784602
山区,1671,0.341273234
山区,1681,0.31720895
山区,1691,0.374318874
山区,1701,0.286166805
山区,1711,0.324031839
山区,1721,0.381850383
山区,1731,0.322426303
山区,1741,0.345998575
山区,1751,0.318394042
山区,1761,0.334840357
山区,1771,0.34194694
山区,1781,0.300105039
山区,1791,0.288651457
山区,1801,0.313145009
山区,1811,0.381351909
山区,1821,0.319620357
山区,1831,0.291382783
山区,1841,0.303900604
山区,1851,0.359701418
山区,1861,0.363510279
山区,1871,0.315502146
山区,1881,0.379288878
山区,1891,0.321255419
山区,1901,0.279362324
山区,1911,0.341167715
山区,1921,0.332436068
山区,1931,0.327041277
山区,1941,0.308585465
山区,1951,0.348054157
山区,1961,0.336032997
山区,1971,0.271785717
山区,1981,0.284870676
山区,1991,0.335817249
山区,2001,0.343531326
山区,2011,0.275120131
山区,2021,0.327172775
山区,2031,0.33336674
山区,2041,0.314616681
山区,2051,0.370706677
山区,2061,0.336632911
山区,2071,0.266777381
山区,2081,0.301527919
山区,2091,0.283787552
山区,2101,0.334323599
山区,2111,0.313911012
山区,2121,0.302444186
山区,2131,0.323010638
山区,2141,0.260279001
山区,2151,0.291576492
山区,2161,0.335263492
